id,section,word,correctAnswer,choice1,choice2,choice3,points,explanation
1,01 古典文法事始め,活用とは何か。最も適切な説明を選べ。,語が下に続く語や文中での働きに応じて形を変えること,語の意味を現代語に直すこと,主語を省略すること,漢字を仮名に直すこと,1,古典文法では、用言や助動詞が未然形・連用形などに形を変えることを活用という。
2,01 古典文法事始め,活用形のうち、文を言い切る形はどれか。,終止形,未然形,連用形,已然形,1,終止形は文を終えるときの基本形。
3,01 古典文法事始め,活用形のうち、「ば」が付いて確定条件を作りやすい形はどれか。,已然形,未然形,命令形,連体形,1,已然形＋ばは「〜ので・〜すると」の意味になりやすい。
4,01 古典文法事始め,活用形のうち、体言に続く形はどれか。,連体形,連用形,命令形,未然形,1,連体形は名詞などの体言を修飾する。
5,01 古典文法事始め,活用形のうち、打消の助動詞「ず」が付く基本形はどれか。,未然形,終止形,已然形,命令形,1,「ず」は未然形接続の助動詞。
6,02 動詞（一）音便,音便とは何か。,発音しやすくするために語形が変化すること,意味が反対になること,敬語に変わること,係り結びが起こること,1,音便は発音上の変化で、イ音便・ウ音便・撥音便・促音便などがある。
7,02 動詞（一）音便,「書きて」が「書いて」となる変化は何音便か。,イ音便,ウ音便,撥音便,促音便,1,キがイに変わるのでイ音便。
8,02 動詞（一）音便,「思ひて」が「思うて」となる変化は何音便か。,ウ音便,イ音便,撥音便,促音便,1,ハ行四段などでウ音便が起こることがある。
9,02 動詞（一）音便,「飛びて」が「飛んで」となる変化は何音便か。,撥音便,促音便,イ音便,ウ音便,1,「び」が「ん」に変わるので撥音便。
10,02 動詞（一）音便,「ありて」が「ありて」のまま変化しない場合、最も適切なのはどれか。,音便が起きていない,必ずイ音便である,必ずウ音便である,已然形である,1,音便はすべての語に必ず起こるわけではない。
11,03 動詞（二）活用の種類,四段活用の特徴として最も適切なものを選べ。,ア・イ・ウ・エの四段に活用する,ア段だけで活用する,未然形と連用形が同じになる,命令形が必ず「よ」になる,1,四段活用は語尾がア・イ・ウ・エ段に変化する。
12,03 動詞（二）活用の種類,上一段活用の代表語として適切なものを選べ。,見る,書く,死ぬ,蹴る,1,「見る」は上一段活用の代表語。
13,03 動詞（二）活用の種類,下二段活用の特徴として適切なものを選べ。,エ段を中心に活用する,ア段だけで活用する,活用しない,命令形が必ず「ろ」になる,1,下二段はエ段を中心に活用する。
14,03 動詞（二）活用の種類,カ行変格活用の語として適切なものを選べ。,来,す,あり,見る,1,カ変は「来」の一語が基本。
15,03 動詞（二）活用の種類,サ行変格活用の語として適切なものを選べ。,す,来,あり,寝,1,サ変は「す」「おはす」などを押さえる。
16,04 形容詞,形容詞の活用の種類として正しい組み合わせを選べ。,ク活用・シク活用,四段活用・下二段活用,ナリ活用・タリ活用,ラ変活用・カ変活用,1,形容詞はク活用とシク活用に分かれる。
17,04 形容詞,「よし」はどの活用か。,ク活用,シク活用,ナリ活用,四段活用,1,「よし」はク活用形容詞。
18,04 形容詞,「うつくし」はどの活用か。,シク活用,ク活用,サ変活用,下二段活用,1,「うつくし」はシク活用形容詞。
19,04 形容詞,形容詞の連用形語尾として現れやすいものを選べ。,く・しく,けり・ける,ず・ぬ,べし・まじ,1,ク活用は「く」、シク活用は「しく」が基本。
20,04 形容詞,形容詞の已然形語尾として適切なものを選べ。,けれ,し,く,から,1,形容詞の已然形は「けれ」が基本。
21,05 形容動詞,形容動詞の活用の種類として正しいものを選べ。,ナリ活用・タリ活用,ク活用・シク活用,四段活用・上一段活用,カ変・サ変,1,形容動詞はナリ活用とタリ活用。
22,05 形容動詞,「静かなり」はどの活用か。,ナリ活用,タリ活用,ク活用,四段活用,1,「〜なり」の形はナリ活用。
23,05 形容動詞,「堂々たり」はどの活用か。,タリ活用,ナリ活用,シク活用,下二段活用,1,「〜たり」の形はタリ活用。
24,05 形容動詞,形容動詞「なり」の連用形として適切なものを選べ。,なり・に,なる,なれ,なれど,1,ナリ活用の連用形は「なり」「に」。
25,05 形容動詞,形容動詞「なり」の連体形として適切なものを選べ。,なる,なり,なれ,なら,1,ナリ活用の連体形は「なる」。
26,06 助動詞入門,助動詞を判定するときに特に見るべきものはどれか。,接続・活用・意味,漢字の画数,主語の人数,句読点の位置,1,助動詞は接続・活用・意味をセットで確認する。
27,06 助動詞入門,助動詞の接続とは何か。,上の語が何形になるかという決まり,下に必ず名詞が来る決まり,主語が省略される決まり,現代語訳を固定する決まり,1,助動詞は直前の語の活用形によって接続が決まる。
28,06 助動詞入門,未然形接続の助動詞として適切なものを選べ。,ず,けり,たり,なり（伝聞推定）,1,「ず」は未然形接続。
29,06 助動詞入門,連用形接続の助動詞として適切なものを選べ。,けり,む,らむ,べし,1,「き」「けり」「つ」「ぬ」「たり」などは連用形接続。
30,06 助動詞入門,終止形接続の助動詞として適切なものを選べ。,べし,ず,き,つ,1,「べし」は原則として終止形接続。
31,07 助動詞 き・けり,助動詞「き」の基本的な意味はどれか。,直接過去,推量,打消,受身,1,「き」は自分が直接経験した過去を表す。
32,07 助動詞 き・けり,助動詞「けり」の基本的な意味はどれか。,過去・詠嘆,意志・勧誘,使役,打消推量,1,「けり」は過去のほか詠嘆にも用いられる。
33,07 助動詞 き・けり,「けり」が和歌などで感動を表す場合の意味はどれか。,詠嘆,尊敬,禁止,反実仮想,1,「けり」は気づきや感動を表す詠嘆になる。
34,07 助動詞 き・けり,「き」の接続として適切なものを選べ。,連用形,未然形,已然形,命令形,1,「き」は連用形接続。
35,07 助動詞 き・けり,「けり」の接続として適切なものを選べ。,連用形,未然形,連体形,已然形,1,「けり」は連用形接続。
36,08 助動詞 つ・ぬ,助動詞「つ」の主な意味として適切でないものを選べ。,打消,完了,強意,並列,1,「つ」は完了・強意など。打消ではない。
37,08 助動詞 つ・ぬ,助動詞「ぬ」の主な意味として適切なものを選べ。,完了,打消,推量,尊敬,1,「ぬ」は完了・強意を表す。
38,08 助動詞 つ・ぬ,「つ」「ぬ」の接続として適切なものを選べ。,連用形,未然形,終止形,已然形,1,完了の「つ」「ぬ」は連用形接続。
39,08 助動詞 つ・ぬ,「てむ」「なむ」の「つ」「ぬ」はどの意味になりやすいか。,強意,受身,可能,自発,1,推量系の語と結びつくと強意になりやすい。
40,08 助動詞 つ・ぬ,「風やみぬ」の「ぬ」の意味として適切なものを選べ。,完了,打消,推量,断定,1,「やみぬ」は「やんでしまった」と考える。
41,09 助動詞 ず,助動詞「ず」の意味はどれか。,打消,過去,完了,尊敬,1,「ず」は打消の助動詞。
42,09 助動詞 ず,助動詞「ず」の接続はどれか。,未然形,連用形,終止形,已然形,1,「ず」は未然形接続。
43,09 助動詞 ず,「ず」の連体形として適切なものを選べ。,ぬ・ざる,ず,ざれ,ざら,1,「ず」の連体形は「ぬ」「ざる」。
44,09 助動詞 ず,「ず」の已然形として適切なものを選べ。,ね・ざれ,ず,ぬ・ざる,ざら,1,已然形は「ね」「ざれ」。
45,09 助動詞 ず,「行かず」の「ず」の働きとして適切なものを選べ。,行くことを否定する,行くことを完了させる,行くことを推量する,行く人を尊敬する,1,「ず」は動作を否定する。
46,10 助動詞 む・むず,助動詞「む」の意味として基本的でないものを選べ。,過去,推量,意志,勧誘,1,「む」は推量・意志・勧誘・仮定・婉曲など。過去ではない。
47,10 助動詞 む・むず,助動詞「む」の接続はどれか。,未然形,連用形,終止形,已然形,1,「む」は未然形接続。
48,10 助動詞 む・むず,一人称主語で「む」が使われると、どの意味になりやすいか。,意志,過去,完了,尊敬,1,一人称では「〜しよう」という意志になりやすい。
49,10 助動詞 む・むず,二人称主語で「む」が使われると、どの意味になりやすいか。,適当・勧誘,過去,打消,断定,1,二人称では「〜するのがよい」「〜しませんか」のようになりやすい。
50,10 助動詞 む・むず,「むず」の意味として最も近いものを選べ。,むとほぼ同じ推量・意志など,過去だけ,完了だけ,断定だけ,1,「むず」は「むとす」由来で、むと同様の意味を持つ。
51,11 助動詞 る・らる,助動詞「る・らる」の意味として含まれないものを選べ。,過去,受身,尊敬,可能,1,「る・らる」は受身・尊敬・自発・可能。過去ではない。
52,11 助動詞 る・らる,「る・らる」の接続はどれか。,未然形,連用形,終止形,已然形,1,「る・らる」は未然形接続。
53,11 助動詞 る・らる,「思はる」の意味として文脈上多いものを選べ。,自発,過去,断定,打消,1,心情動詞につく「る・らる」は自発になりやすい。
54,11 助動詞 る・らる,「人に笑はる」の「る」の意味として適切なものを選べ。,受身,可能,尊敬,打消,1,「人に〜される」と考えるので受身。
55,11 助動詞 る・らる,身分の高い人物の動作に付く「る・らる」の意味として多いものはどれか。,尊敬,打消,過去,断定,1,高貴な人物の動作なら尊敬の可能性が高い。
56,12 助動詞 す・さす・しむ,助動詞「す・さす・しむ」の意味として正しいものを選べ。,使役・尊敬,過去・詠嘆,打消・推量,完了・存続,1,「す・さす・しむ」は使役または尊敬。
57,12 助動詞 す・さす・しむ,「す・さす・しむ」の接続はどれか。,未然形,連用形,終止形,已然形,1,これらは未然形接続。
58,12 助動詞 す・さす・しむ,「人をして行かしむ」の「しむ」の意味はどれか。,使役,尊敬,受身,完了,1,「人に〜させる」なので使役。
59,12 助動詞 す・さす・しむ,高貴な人物の動作に「す・さす・しむ」が付くと、どの意味になりやすいか。,尊敬,打消,過去,可能,1,尊敬用法では、動作主を高める。
60,12 助動詞 す・さす・しむ,「す」と「さす」の使い分けとして適切なものを選べ。,接続する動詞の活用によって形が変わる,意味が必ず反対になる,すは過去、さすは未来,すは名詞にだけ付く,1,活用の種類により「す」「さす」を使い分ける。
61,13 助動詞 まし・まほし,助動詞「まし」の代表的な意味はどれか。,反実仮想,過去,完了,尊敬,1,「まし」は反実仮想で重要。
62,13 助動詞 まし・まほし,助動詞「まほし」の意味はどれか。,希望,打消,過去,可能,1,「まほし」は「〜したい」。
63,13 助動詞 まし・まほし,「まし」の接続はどれか。,未然形,連用形,連体形,已然形,1,「まし」は未然形接続。
64,13 助動詞 まし・まほし,「まほし」の接続はどれか。,未然形,連用形,終止形,已然形,1,「まほし」は未然形接続。
65,13 助動詞 まし・まほし,「もし〜ましかば、〜まし」の形は何を表しやすいか。,反実仮想,単純過去,現在の事実,命令,1,「もし〜だったなら、〜だっただろうに」という反実仮想。
66,14 助動詞 らむ・けむ,助動詞「らむ」の主な意味はどれか。,現在推量,過去推量,完了,打消,1,「らむ」は現在推量・現在原因推量など。
67,14 助動詞 らむ・けむ,助動詞「けむ」の主な意味はどれか。,過去推量,現在推量,尊敬,断定,1,「けむ」は過去推量・過去原因推量など。
68,14 助動詞 らむ・けむ,「らむ」の接続はどれか。,終止形,未然形,連用形,已然形,1,「らむ」は原則として終止形接続。
69,14 助動詞 らむ・けむ,「けむ」の接続はどれか。,連用形,未然形,連体形,已然形,1,「けむ」は連用形接続。
70,14 助動詞 らむ・けむ,「など〜らむ」のように疑問語と結びつくと、どの意味になりやすいか。,原因推量,完了,打消,使役,1,疑問語と呼応して「どうして〜なのだろう」と原因を推量する。
71,15 助動詞 べし・まじ,助動詞「べし」の意味として含まれないものを選べ。,過去,推量,意志,当然,1,「べし」は推量・意志・当然・命令・適当・可能など。
72,15 助動詞 べし・まじ,助動詞「まじ」の意味として正しいものを選べ。,打消推量・打消意志など,過去・詠嘆,完了・強意,尊敬・使役,1,「まじ」は「べし」の打消に近い。
73,15 助動詞 べし・まじ,「べし」の接続はどれか。,終止形,未然形,連用形,已然形,1,「べし」は原則として終止形接続。
74,15 助動詞 べし・まじ,「まじ」の接続はどれか。,終止形,未然形,連用形,已然形,1,「まじ」は原則として終止形接続。
75,15 助動詞 べし・まじ,「なすべし」の訳として最も自然なものを選べ。,するのがよい・するべきだ,した,してしまった,しない,1,文脈により当然・適当などで訳す。
76,16 助動詞 なり・たり,断定の助動詞「なり」の意味はどれか。,〜である,〜ようだ,〜した,〜しない,1,断定の「なり」は「〜である」。
77,16 助動詞 なり・たり,断定の助動詞「なり」の接続はどれか。,体言・連体形,未然形,連用形,已然形,1,断定「なり」は体言または連体形に付く。
78,16 助動詞 なり・たり,伝聞・推定の助動詞「なり」の接続はどれか。,終止形,未然形,連用形,已然形,1,伝聞推定「なり」は終止形接続。
79,16 助動詞 なり・たり,断定の助動詞「たり」の意味はどれか。,〜である,〜したい,〜だろう,〜させる,1,断定「たり」は「〜である」。
80,16 助動詞 なり・たり,断定の「たり」の接続はどれか。,体言,未然形,連用形,終止形,1,断定「たり」は体言に接続する。
81,17 助動詞 めり・らし,助動詞「めり」の意味として適切なものを選べ。,推定,過去,打消,使役,1,「めり」は見た感じで判断する推定。
82,17 助動詞 めり・らし,助動詞「らし」の意味として適切なものを選べ。,根拠のある推定,反実仮想,完了,打消,1,「らし」は根拠に基づく推定。
83,17 助動詞 めり・らし,「めり」の接続はどれか。,終止形,未然形,連用形,命令形,1,「めり」は終止形接続。
84,17 助動詞 めり・らし,「らし」の接続はどれか。,終止形,未然形,連用形,已然形,1,「らし」は終止形接続。
85,17 助動詞 めり・らし,「見ゆめり」の訳として近いものを選べ。,見えるようだ,見えた,見えない,見させる,1,「めり」は推定で「〜ようだ」。
86,18 助動詞 まし,「まし」が反実仮想を表すときの訳として適切なものを選べ。,〜だっただろうに,〜している,〜しない,〜である,1,反実仮想では現実と違う仮定を表す。
87,18 助動詞 まし,「ましかば」と呼応しやすい語はどれか。,まし,けり,ず,たり,1,「ましかば〜まし」は反実仮想の定型。
88,18 助動詞 まし,「せまし」の「まし」の意味として適切なものを選べ。,ためらいの意志・反実仮想など文脈判断,完了のみ,断定のみ,尊敬のみ,1,「まし」は複数の意味を持つため文脈判断が必要。
89,18 助動詞 まし,「まし」の活用型として適切なものを選べ。,特殊型,四段型,ラ変型,ナリ活用型,1,「まし」は特殊な活用をする助動詞。
90,18 助動詞 まし,反実仮想でない「まし」の意味としてあり得るものを選べ。,ためらいの意志,受身,伝聞,断定,1,「まし」にはためらいの意志・実現不可能な希望などもある。
91,19 終助詞,終助詞とはどこに置かれやすい助詞か。,文末,文頭だけ,名詞の前だけ,動詞の語幹の中,1,終助詞は文末に置かれ、感動・願望・禁止などを表す。
92,19 終助詞,終助詞「ばや」の意味として適切なものを選べ。,〜したい,〜してはいけない,〜だろう,〜である,1,「ばや」は自己の願望。
93,19 終助詞,終助詞「な」の意味として適切なものを選べ。,禁止,過去,尊敬,完了,1,文末の「な」は禁止を表すことがある。
94,19 終助詞,終助詞「もがな」の意味として適切なものを選べ。,〜があればなあ,〜してはいけない,〜だそうだ,〜である,1,「もがな」は願望。
95,19 終助詞,終助詞「てしがな」の意味として適切なものを選べ。,〜したいものだ,〜しない,〜だった,〜らしい,1,「てしがな」は強い願望。
96,20 接続助詞,接続助詞とは何をつなぐ助詞か。,文節や文をつなぐ,名詞を敬語にする,動詞を打ち消す,体言を作る,1,接続助詞は前後の内容を関係づける。
97,20 接続助詞,接続助詞「ば」が已然形に付くと、どの意味になりやすいか。,確定条件,単純な願望,打消,断定,1,已然形＋ばは「〜ので・〜すると」。
98,20 接続助詞,接続助詞「ば」が未然形に付くと、どの意味になりやすいか。,仮定条件,完了,尊敬,詠嘆,1,未然形＋ばは「もし〜ならば」。
99,20 接続助詞,接続助詞「ど・ども」の意味として適切なものを選べ。,逆接,順接,願望,禁止,1,「ど・ども」は「〜けれども」。
100,20 接続助詞,接続助詞「て」の働きとして適切なものを選べ。,単純接続・原因理由など,打消推量だけ,尊敬だけ,係り結びだけ,1,「て」は前後をつなぎ、文脈で訳し分ける。
101,21 副助詞,副助詞の働きとして適切なものを選べ。,意味を添えて限定・強調などを表す,活用語を作る,敬語の種類を決める,必ず文末に置く,1,副助詞は語に意味を添える。
102,21 副助詞,副助詞「だに」の意味として適切なものを選べ。,せめて〜だけでも・〜さえ,〜だから,〜のようだ,〜である,1,「だに」は類推や最小限を表す。
103,21 副助詞,副助詞「すら」の意味として適切なものを選べ。,〜でさえ,〜だけ,〜してはいけない,〜だろう,1,「すら」は強い類推を表す。
104,21 副助詞,副助詞「のみ」の意味として適切なものを選べ。,〜だけ,〜なので,〜ようだ,〜したい,1,「のみ」は限定。
105,21 副助詞,副助詞「さへ」の意味として適切なものを選べ。,〜までも,〜したい,〜べきだ,〜らしい,1,「さへ」は添加・類推を表す。
106,22 係助詞,係助詞によって文末の活用形が変わる現象を何というか。,係り結び,音便,敬語法,反実仮想,1,係助詞と文末の結びの対応を係り結びという。
107,22 係助詞,係助詞「ぞ」の結びとして基本的に正しいものを選べ。,連体形,已然形,未然形,命令形,1,「ぞ・なむ・や・か」は連体形で結ぶ。
108,22 係助詞,係助詞「こそ」の結びとして正しいものを選べ。,已然形,連体形,終止形,未然形,1,「こそ」は已然形で結ぶ。
109,22 係助詞,係助詞「や・か」の働きとして適切なものを選べ。,疑問・反語,完了,尊敬,過去,1,「や・か」は疑問・反語を表す。
110,22 係助詞,係助詞「は」の働きとして適切なものを選べ。,提示・区別,受身,使役,完了,1,「は」は話題提示や対比を表す。
111,23 格助詞,格助詞の働きとして適切なものを選べ。,語と語の関係を示す,文末で願望を表す,助動詞を活用させる,音便を起こす,1,格助詞は主語・連体修飾・手段などの関係を示す。
112,23 格助詞,格助詞「の・が」が主語を表す例として適切な訳はどれか。,〜が,〜だけ,〜したい,〜である,1,古文では「の・が」が主語を表す。
113,23 格助詞,格助詞「より」の意味として適切なものを選べ。,起点・比較,願望,禁止,断定,1,「より」は「〜から」「〜より」。
114,23 格助詞,格助詞「にて」の意味として適切なものを選べ。,場所・手段・原因など,反語だけ,完了だけ,尊敬だけ,1,「にて」は文脈で場所・手段・原因などを表す。
115,23 格助詞,格助詞「して」の意味として適切なものを選べ。,手段・使役の対象など,打消,推量,詠嘆,1,「して」は「〜で」「〜に命じて」など。
116,24 敬語,尊敬語の働きとして適切なものを選べ。,動作主を高める,動作の受け手を高める,話し手が丁寧に言う,動作を否定する,1,尊敬語はその動作をする人を高める。
117,24 敬語,謙譲語の働きとして適切なものを選べ。,動作の受け手を高めるために動作主を低める,動作主を直接高める,文末を丁寧にする,動作を過去にする,1,謙譲語は自分側を低め、相手側を高める。
118,24 敬語,丁寧語の働きとして適切なものを選べ。,聞き手に対して丁寧に述べる,主語を省略する,動詞を打ち消す,過去を表す,1,丁寧語は聞き手への敬意を示す。
119,24 敬語,「給ふ」が四段活用の場合の敬語の種類として多いものはどれか。,尊敬語,謙譲語,丁寧語,打消語,1,四段「給ふ」は尊敬語としてよく用いられる。
120,24 敬語,「参る」の敬語の種類として基本的に正しいものを選べ。,謙譲語,尊敬語,丁寧語,助動詞,1,「参る」は「行く・来」の謙譲語。
121,25 敬語法,敬語を判定するとき、最も重要な確認事項はどれか。,誰から誰への敬意か,文字数が何文字か,助詞が何個あるか,季節が春か秋か,1,敬語は敬意の方向を確認する。
122,25 敬語法,二方面への敬意が一文に含まれる敬語法を何というか。,二重敬語ではなく敬意の方向の重なりを確認する問題,音便,係り結び,反実仮想,1,敬語法では誰を高めているかを細かく見る。
123,25 敬語法,「おはす」の意味として適切なものを選べ。,いらっしゃる,申し上げる,ございます,食べる,1,「おはす」は尊敬語で「いらっしゃる」。
124,25 敬語法,「侍り」の敬語の種類として基本的に正しいものを選べ。,丁寧語,尊敬語,謙譲語,使役語,1,「侍り」は丁寧語として用いられることが多い。
125,25 敬語法,「奉る」の敬語の種類として基本的に正しいものを選べ。,謙譲語,尊敬語,丁寧語,推量語,1,「奉る」は謙譲語。ただし文脈で尊敬補助動詞にも注意。
126,26 「ぬ」「ね」の識別,「咲きぬ」の「ぬ」として適切なものを選べ。,完了の助動詞「ぬ」,打消の助動詞「ず」の連体形,打消の助動詞「ず」の已然形,ナ変動詞の語尾,1,連用形「咲き」に付くので完了の助動詞。
127,26 「ぬ」「ね」の識別,「咲かぬ花」の「ぬ」として適切なものを選べ。,打消の助動詞「ず」の連体形,完了の助動詞「ぬ」,ナ変動詞の終止形,断定の助動詞,1,未然形「咲か」に付くので打消。
128,26 「ぬ」「ね」の識別,「咲かねば」の「ね」として適切なものを選べ。,打消の助動詞「ず」の已然形,完了の助動詞「ぬ」の命令形,ナ変動詞の未然形,尊敬語,1,「ね」は打消「ず」の已然形。
129,26 「ぬ」「ね」の識別,完了の助動詞「ぬ」の接続はどれか。,連用形,未然形,終止形,已然形,1,完了「ぬ」は連用形接続。
130,26 「ぬ」「ね」の識別,打消の助動詞「ず」の「ぬ」はどの活用形か。,連体形,終止形,連用形,命令形,1,打消「ず」の連体形に「ぬ」がある。
131,27 「る」「れ」の識別,「流る」の「る」として適切なものを選べ。,動詞の語尾,受身の助動詞,完了の助動詞,断定の助動詞,1,語の一部としての「る」は助動詞ではない。
132,27 「る」「れ」の識別,「見らる」の「らる」の意味として文脈上あり得るものを選べ。,受身・尊敬・自発・可能,過去・詠嘆のみ,完了・強意のみ,断定のみ,1,「らる」は複数の意味を文脈で識別する。
133,27 「る」「れ」の識別,「思はる」の「る」の意味として多いものを選べ。,自発,打消,断定,過去,1,心情・知覚に関わる語では自発が多い。
134,27 「る」「れ」の識別,「る・らる」の接続はどれか。,未然形,連用形,終止形,已然形,1,助動詞「る・らる」は未然形接続。
135,27 「る」「れ」の識別,「知られ給ふ」の「れ」は何として考えられるか。,助動詞「る」の連用形,動詞の語幹,係助詞,格助詞,1,「れ」は助動詞「る」の連用形になり得る。
136,28 「なり」の識別,体言に接続する「なり」として適切なものを選べ。,断定の助動詞,伝聞推定の助動詞,形容動詞の語尾だけ,副助詞,1,体言＋なりは断定が基本。
137,28 「なり」の識別,終止形に接続する「なり」として適切なものを選べ。,伝聞推定の助動詞,断定の助動詞,打消の助動詞,完了の助動詞,1,終止形＋なりは伝聞推定。
138,28 「なり」の識別,「静かなり」の「なり」として適切なものを選べ。,形容動詞の活用語尾,断定の助動詞,伝聞推定の助動詞,格助詞,1,「静かなり」はナリ活用形容動詞。
139,28 「なり」の識別,「音すなり」の「なり」はどれか。,伝聞推定,断定,形容動詞,打消,1,動詞終止形に付く「なり」は伝聞推定。
140,28 「なり」の識別,「人なり」の「なり」はどれか。,断定,伝聞推定,完了,尊敬,1,体言「人」に付くので断定。
141,29 「なむ」の識別,文中の係助詞「なむ」の結びとして正しいものを選べ。,連体形,已然形,未然形,命令形,1,係助詞「なむ」は連体形結び。
142,29 「なむ」の識別,文末の「なむ」が願望を表す場合の訳として適切なものを選べ。,〜てほしい・〜たい,〜だろう,〜した,〜である,1,終助詞的な「なむ」は願望。
143,29 「なむ」の識別,「なむ」が完了「ぬ」＋推量「む」の場合、直前は何形になりやすいか。,連用形,体言,已然形,命令形,1,完了「ぬ」は連用形接続。
144,29 「なむ」の識別,「咲きなむ」の「なむ」として適切なものを選べ。,完了「ぬ」未然形＋推量「む」,係助詞,格助詞,断定の助動詞,1,連用形「咲き」に続くので完了＋推量と考えられる。
145,29 「なむ」の識別,「なむ」を識別する際に最も重要な観点はどれか。,文中か文末か、結びや接続はどうか,漢字か仮名か,句点の数,主語が人か物かだけ,1,係助詞・終助詞・助動詞連続を区別する。
146,30 「に」の識別,「静かに」の「に」として適切なものを選べ。,形容動詞の連用形語尾,格助詞,断定の助動詞の連用形,完了の助動詞,1,形容動詞ナリ活用の連用形「に」。
147,30 「に」の識別,「人に会ふ」の「に」として適切なものを選べ。,格助詞,形容動詞語尾,断定の助動詞,接続助詞,1,「に」は対象を示す格助詞。
148,30 「に」の識別,「人にてあり」の「にて」として適切なものを選べ。,断定の助動詞「なり」の連用形＋接続助詞「て」,完了の助動詞,打消の助動詞,係助詞,1,「にて」は断定「なり」の連用形「に」＋「て」と見る場合がある。
149,30 「に」の識別,「見るに」の「に」として文脈上あり得るものを選べ。,接続助詞,形容動詞語尾,完了の助動詞,尊敬語,1,用言に付いて前後をつなぐ「に」は接続助詞。
150,30 「に」の識別,「に」の識別で最初に見るべきことはどれか。,直前の語の品詞・活用形,文字の大きさ,文の長さ,作者名,1,直前が体言か形容動詞語幹か用言連体形かで判定する。
151,41-45 付録・総復習,「ぞ・なむ・や・か」の結びとして正しいものを選べ。,連体形,已然形,未然形,命令形,1,係助詞「ぞ・なむ・や・か」は連体形結び。
152,41-45 付録・総復習,「こそ」の結びとして正しいものを選べ。,已然形,連体形,終止形,未然形,1,「こそ」は已然形結び。
153,41-45 付録・総復習,尊敬語・謙譲語・丁寧語の区別で、聞き手への敬意を表すものはどれか。,丁寧語,尊敬語,謙譲語,係助詞,1,丁寧語は聞き手への敬意。
154,41-45 付録・総復習,「見る」の尊敬語として適切なものを選べ。,御覧ず,参る,申す,侍り,1,「御覧ず」は「見る」の尊敬語。
155,41-45 付録・総復習,「言ふ」の謙譲語として適切なものを選べ。,申す,のたまふ,おはす,給ふ,1,「申す」は「言ふ」の謙譲語。
156,41-45 付録・総復習,「行く・来」の謙譲語として適切なものを選べ。,参る,おはす,のたまふ,思す,1,「参る」は「行く・来」の謙譲語。
157,41-45 付録・総復習,「あり」の丁寧語として適切なものを選べ。,侍り,奉る,給ふ,聞こゆ,1,「侍り」は「あり」の丁寧語として用いられる。
158,41-45 付録・総復習,形容詞の活用種類として正しいものを選べ。,ク活用・シク活用,ナリ活用・タリ活用,四段・上一段,カ変・サ変,1,形容詞はク活用とシク活用。
159,41-45 付録・総復習,形容動詞の活用種類として正しいものを選べ。,ナリ活用・タリ活用,ク活用・シク活用,ラ変・ナ変,上一段・下一段,1,形容動詞はナリ活用・タリ活用。
160,41-45 付録・総復習,助動詞「べし」を覚える代表的な語呂として対応しない意味はどれか。,過去,推量,意志,当然,1,べしには推量・意志・当然・命令・適当・可能などがある。
