id,section,word,correctAnswer,choice2,choice3,choice4
chunk_001,TOEIC_email,"If you leave a message, we will return your call ( ? ).",as soon as possible,as soon as,soon as possible,in the other words
chunk_002,GENERAL_linkers,"If you leave a message, we will return your call ( ? ) possible.",as soon as,as soon,soon as,in the other words
chunk_003,GENERAL_linkers,"Be sure to include your name, daytime telephone number, and ( ? ) your call. .",the reason for,the reason to,the reason,reason for
chunk_004,GENERAL_verb_patterns,"He'll teach you everything you ( ? ) know about using this unique, time-saving software program.",need to,need for,in the other words,on the result
chunk_005,TOEIC_picture,( ? ) a man and a woman in the supermarket.,This is a picture of,This is a picture for,This is a picture,is a picture of
chunk_006,TOEIC_picture_action,The man ( ? ) a baseball cap and a black jacket.,is wearing,in the other words,on the result,for these reason
chunk_007,TOEIC_picture_action,He ( ? ) a bag of vegetables with his right hand.,is picking up,is picking,picking up,in the other words
chunk_008,TOEIC_picture,"Behind the man, ( ? ) a woman wearing a green, long-sleeved shirt and black pants.",there is,There are,There be,in the other words
chunk_009,TOEIC_picture,"( ? ) a lot of different fresh vegetables on the shelves, such as celery, lettuce, and tomatoes. .",There are,There is,There be,in the other words
chunk_010,GENERAL_linkers,"There are ( ? ) different fresh vegetables on the shelves, such as celery, lettuce, and tomatoes. .",a lot of,a lot for,a lot,lot of
chunk_011,TOEIC_picture_action,"I don't know the exact name of the vegetable the woman ( ? ), but she is looking at some kind of vegetable. .",is holding,in the other words,on the result,for these reason
chunk_012,TOEIC_picture_action,"I don't know the exact name of the vegetable the woman is holding, but she ( ? ) some kind of vegetable. .",is looking at,is looking,looking at,in the other words
chunk_013,TOEIC_repair_prediction,"( ? ) the vegetable the woman is holding, but she is looking at some kind of vegetable. .",I don't know the exact name of,I don't know the exact name for,I don't know the exact name,don't know the exact name of
chunk_014,TOEIC_repair_prediction,"I don't know the exact name of the vegetable the woman is holding, but she is looking at ( ? ) vegetable. .",some kind of,some kind for,some kind,kind of
chunk_015,TOEIC_picture,( ? ) two men riding on a bicycle. .,This is a picture of,This is a picture for,This is a picture,is a picture of
chunk_016,TOEIC_picture,( ? ) a beach in a resort area. .,This photograph shows,This photograph,photograph shows,in the other words
chunk_017,TOEIC_picture,( ? ) an airport. .,This photograph was taken at,This photograph was taken,photograph was taken at,in the other words
chunk_018,TOEIC_picture,"( ? ), I can see some people visiting a museum. .",In this picture,on this picture,at this picture,In this
chunk_019,TOEIC_picture,"In this picture, ( ? ) some people visiting a museum. .",I can see,I can,can see,in the other words
chunk_020,TOEIC_picture,"( ? ), there are two whiteboards set next to each other on the wall. .",In the background of the picture,on the background of the picture,at the background of the picture,In the background for the picture
chunk_021,TOEIC_picture,"In the background of the picture, ( ? ) two whiteboards set next to each other on the wall. .",there are,There is,There be,in the other words
chunk_022,TOEIC_picture_action,"In the background of the picture, there are two whiteboards set ( ? ) each other on the wall. .",next to,next for,in the other words,on the result
chunk_023,TOEIC_picture,"( ? ), one of the female students is standing behind the projector and giving a presentation on the class. .",On the right side of the picture,in the right side of the picture,at the right side of the picture,On the right side for the picture
chunk_024,TOEIC_picture,"( ? ), I can see a male student listening to the presentation in front of the screen. .",In the middle of the picture,on the middle of the picture,at the middle of the picture,In the middle for the picture
chunk_025,TOEIC_picture,"In the middle of the picture, ( ? ) a male student listening to the presentation in front of the screen. .",I can see,I can,can see,in the other words
chunk_026,TOEIC_picture_action,"In the middle of the picture, I can see a male student listening to the presentation ( ? ) the screen. .",in front of,on front of,at front of,in front for
chunk_027,TOEIC_picture,"( ? ), a female student is taking notes during the presentation. .",In the foreground of the picture,on the foreground of the picture,at the foreground of the picture,In the foreground for the picture
chunk_028,TOEIC_picture_action,"In the foreground of the picture, a female student ( ? ) during the presentation. .",is taking notes,is taking,taking notes,in the other words
chunk_029,TOEIC_repair_prediction,( ? ) a picture of a musical performance. .,It looks like,It looks,looks like,in the other words
chunk_030,TOEIC_picture_action,I think three customers ( ? ) to buy a newly released product. .,are lined up,are lined,lined up,in the other words
chunk_031,TOEIC_picture_action,The two people are probably ( ? ) the train. .,trying to catch,trying for catch,trying to,to catch
chunk_032,TOEIC_repair_prediction,The two people are ( ? ) catch the train. .,probably trying to,probably trying for,probably trying,trying to
chunk_033,GENERAL_verb_patterns,The two people are probably ( ? ) catch the train. .,trying to,trying for,in the other words,on the result
chunk_034,GENERAL_linkers,A family is eating ( ? ) sitting at a table outside. .,while,in the other words,on the result,for these reason
chunk_035,TOEIC_picture_action,A woman wearing glasses ( ? ) one of her daughters with very long hair. .,is sitting across from,is sitting across of,is sitting across,sitting across from
chunk_036,TOEIC_picture_action,"A boy with glasses ( ? ) his father and his sister, facing toward his mother. .",is sitting between,is sitting,sitting between,in the other words
chunk_037,TOEIC_picture_action,Another daughter ( ? ) her mother. .,sits next to,sits next for,sits next,next to
chunk_038,TOEIC_picture,( ? ) a couple of plastic bottles on the table. .,I can see,I can,can see,in the other words
chunk_039,GENERAL_linkers,I can see ( ? ) plastic bottles on the table. .,a couple of,a couple for,a couple,couple of
chunk_040,TOEIC_picture,( ? ) a wooden bench beside the table. .,There is,There are,There be,in the other words
chunk_041,TOEIC_picture_action,Many vehicles ( ? ) along the sidewalk. .,have been parked,have been,been parked,in the other words
chunk_042,TOEIC_picture_action,A man and a woman ( ? ) an aisle in the grocery store. .,are standing in,are standing,standing in,in the other words
chunk_043,TOEIC_repair_prediction,( ? ) they are enjoying selecting vegetables. .,They look like,They look,look like,in the other words
chunk_044,TOEIC_picture_action,Both of them ( ? ) vegetables .,are looking at,are looking,looking at,in the other words
chunk_045,TOEIC_picture_action,The man ( ? ) glasses and he has a mustache. .,is wearing,in the other words,on the result,for these reason
chunk_046,TOEIC_repair_prediction,The man ( ? ) a bag of vegetables because it's fresh. .,may be choosing,may be,be choosing,in the other words
chunk_047,TOEIC_repair_prediction,The man ( ? ) looking at how fresh the vegetables are. .,seems to be,seems for be,seems to,to be
chunk_048,TOEIC_picture,I see a number of people gathered outsiders ( ? ).,in this picture,on this picture,at this picture,in this
chunk_049,GENERAL_linkers,I see ( ? ) people gathered outsiders in this picture.,a number of,a number for,a number,number of
chunk_050,TOEIC_repair_prediction,"( ? ) a weekend day, and they are enjoying the day off of work.",Perhaps it is,Perhaps it,it is,in the other words
chunk_051,TOEIC_picture_action,One man on the left ( ? ) a bicycle.,is holding,in the other words,on the result,for these reason
chunk_052,TOEIC_picture,"( ? ), some men wearing sunglasses are talking about something.",To the right,for the right,To the,the right
chunk_053,TOEIC_picture,"( ? ), two people sit together. .",Off to the side,Off for the side,Off to the,to the side
chunk_054,TOEIC_picture,"( ? ), uh, there are two people - a man and a woman.",In this picture,on this picture,at this picture,In this
chunk_055,TOEIC_picture,"In this picture, uh, ( ? ) two people - a man and a woman.",there are,There is,There be,in the other words
chunk_056,TOEIC_picture_action,They are ( ? ) a fire.,next to,next for,in the other words,on the result
chunk_057,TOEIC_repair_prediction,"( ? ) cold in that room, because the man and woman are wearing their jackets. .",It must be,It must,must be,in the other words
chunk_058,GENERAL_linkers,"( ? ), this office species has been taken over to do some type of packaging.",However,in the other words,on the result,for these reason
chunk_059,GENERAL_linkers,"One man has a card carrying a single box, ( ? ) two women are passing a small package between them.",while,in the other words,on the result,for these reason
chunk_060,TOEIC_repair_prediction,"( ? ) they're shipping out materials produced by a large product, and this is staging area.",I imagine,in the other words,on the result,for these reason
chunk_061,TOEIC_picture,( ? ) several large rolling carts. .,There are,There is,There be,in the other words
chunk_062,TOEIC_picture_action,Some people ( ? ) to order food.,are waiting in line,are waiting in,waiting in line,in the other words
chunk_063,TOEIC_picture,"( ? ), there are some employees serving food.",Behind the counter,Behind the,the counter,in the other words
chunk_064,TOEIC_picture,"Behind the counter, ( ? ) some employees serving food.",there are,There is,There be,in the other words
chunk_065,TOEIC_personal_response,"( ? ), I went to a shopping center and bought a new computer. .",Last weekend,in the other words,on the result,for these reason
chunk_066,TOEIC_personal_response,"Last weekend, ( ? ) a shopping center and bought a new computer. .",I went to,I went for,I went,went to
chunk_067,TOEIC_personal_response,( ? ) snowboarding in Nigata with my friends. .,I enjoyed,in the other words,on the result,for these reason
chunk_068,TOEIC_personal_response,( ? ) cooked dinner for my family last Saturday. .,I stayed at home and,I stayed at home,stayed at home and,in the other words
chunk_069,TOEIC_personal_response,( ? ) visit an old school friend who lives in the countryside.,I'm going to,I'm going for,I'm going,going to
chunk_070,TOEIC_personal_response,( ? ) do some hiking and maybe visit some tourist destinations. .,I think we are going to,I think we are going for,I think we are going,think we are going to
chunk_071,TOEIC_personal_response,( ? ) look for a new apartment because I want to move before summer. .,I'm planning to,I'm planning for,I'm planning,planning to
chunk_072,GENERAL_verb_patterns,I'm planning to look for a new apartment because I ( ? ) move before summer. .,want to,want for,in the other words,on the result
chunk_073,TOEIC_personal_response,( ? ) the weather.,It depends on,It depends,depends on,in the other words
chunk_074,TOEIC_personal_response,"( ? ), I'll climb Mt.",If it's sunny,If it's,it's sunny,in the other words
chunk_075,TOEIC_personal_response,"( ? ), I'll read a book I borrowed from my friend. .",Otherwise,in the other words,on the result,for these reason
chunk_076,TOEIC_picture,"There's a great baseball stadium nearby, so you could check to see if ( ? ) any tickets available for the baseball game on Saturday night. .",there are,There is,There be,in the other words
chunk_077,TOEIC_personal_response,( ? ) a movie.,I recommend seeing,I recommend,recommend seeing,in the other words
chunk_078,TOEIC_personal_response,( ? ) the new theater in Shibuya. .,You could try,You could,could try,in the other words
chunk_079,TOEIC_personal_response,"( ? ) talk to my friends, family and work clients. .",That's how I,That's how,how I,in the other words
chunk_080,TOEIC_personal_response,"Everyone can reach me, or I can reach them, ( ? ).",wherever needed,in the other words,on the result,for these reason
chunk_081,TOEIC_personal_response,"I think ( ? ) use a mobile phone in public places where you might bother someone else, such as on the public bus, in the market, and so on.",it's inappropriate to,it's inappropriate for,it's inappropriate,inappropriate to
chunk_082,TOEIC_personal_response,Sometimes ( ? ) put your phone away. .,it's more appropriate to,it's more appropriate for,it's more appropriate,more appropriate to
chunk_083,GENERAL_linkers,"Unfortunately, ( ? ) flights were cancelled because of the weather, so I spent about 10 hours in the airport. .",a lot of,a lot for,a lot,lot of
chunk_084,GENERAL_linkers,"Unfortunately, a lot of flights were cancelled ( ? ) the weather, so I spent about 10 hours in the airport. .",because of,because for,in the other words,on the result
chunk_085,TOEIC_personal_response,( ? ) whether I am hungry.,It depends on,It depends,depends on,in the other words
chunk_086,TOEIC_personal_response,"( ? ), I might just get a coffee and a message. .",Otherwise,in the other words,on the result,for these reason
chunk_087,GENERAL_linkers,I would like airports to have carts for rent for people traveling with ( ? ) heavy luggage.,a lot of,a lot for,a lot,lot of
chunk_088,GENERAL_linkers,( ? ) the luggage has wheels.,Even if,in the other words,on the result,for these reason
chunk_089,TOEIC_schedule_info,The meeting ( ? ) 11 AM and ends at 12 PM. .,starts at,in the other words,on the result,for these reason
chunk_090,TOEIC_schedule_info,The meeting starts at 11 AM and ( ? ) 12 PM. .,ends at,in the other words,on the result,for these reason
chunk_091,TOEIC_schedule_info,The workshop ( ? ) 3 PM to 5 PM. .,will be from,will be of,will be,be from
chunk_092,TOEIC_schedule_info,"The seminars ( ? ) Thursday, June 20. .",will be held on,will be held,be held on,in the other words
chunk_093,TOEIC_picture,( ? ) a tour of the work areas at 9:30. .,There is,There are,There be,in the other words
chunk_094,TOEIC_schedule_info,The session ( ? ) next Tuesday. .,has been postponed to,has been postponed for,has been postponed,been postponed to
chunk_095,TOEIC_schedule_info,"( ? ) 10:45, and then you will have two workshops. .",You will have a break at,You will have a break,will have a break at,in the other words
chunk_096,TOEIC_schedule_info,The seminar ( ? ) the Main Hall of the Grace Hotel. .,will be held in,will be held,be held in,in the other words
chunk_097,TOEIC_schedule_info,"The session ( ? ) Room 104, and the contest is taking place in the Science Hall. .",is located in,is located,located in,in the other words
chunk_098,TOEIC_schedule_info,"The session is located in Room 104, and the contest ( ? ) the Science Hall. .",is taking place in,is taking place,taking place in,in the other words
chunk_099,TOEIC_schedule_info,You ( ? ) the Reception Hall in order to participate in the factory tour. .,need to be at,need for be at,need to be,to be at
chunk_100,TOEIC_schedule_info,You need to be at the Reception Hall ( ? ) the factory tour. .,in order to participate in,on order to participate in,at order to participate in,in order for participate in
chunk_101,GENERAL_linkers,You need to be at the Reception Hall ( ? ) participate in the factory tour. .,in order to,on order to,at order to,in order for
chunk_102,GENERAL_verb_patterns,You ( ? ) be at the Reception Hall in order to participate in the factory tour. .,need to,need for,in the other words,on the result
chunk_103,TOEIC_schedule_info,Mile Walzer ( ? ) the area. .,will show you around,will show you,show you around,in the other words
chunk_104,TOEIC_schedule_info,We have two instructors who ( ? ) the seminar: Jade Smith and Stepfan Brown. .,will be leading,will be,be leading,in the other words
chunk_105,TOEIC_schedule_info,The speech workshop ( ? ) Meg Phillips. .,will be run by,will be run with,will be run,be run by
chunk_106,TOEIC_schedule_info,"Michael Dorson, who owns an Italian restaurant chain, ( ? ). .",will give a talk,will give a,give a talk,in the other words
chunk_107,TOEIC_repair_prediction,"Unfortunately, ( ? ) the seminar has been canceled. .",it looks like,it looks,looks like,in the other words
chunk_108,TOEIC_schedule_info,"( ? ), James Franklin will deliver the speech. .",According to the agenda,According for the agenda,According with,According for
chunk_109,GENERAL_linkers,"( ? ) the agenda, James Franklin will deliver the speech. .",According to,According for,According with,in the other words
chunk_110,TOEIC_repair_prediction,( ? ) the first seminar is Developing Creative Thinking Skills.,It looks like,It looks,looks like,in the other words
chunk_111,TOEIC_picture,"( ? ) also two seminars in November, on November fifth and twelfth. .",There are,There is,There be,in the other words
chunk_112,TOEIC_schedule_info,"( ? ), we are going to offer two seminars in November too. .",According to the schedule,According for the schedule,According with,According for
chunk_113,GENERAL_linkers,"( ? ) the schedule, we are going to offer two seminars in November too. .",According to,According for,According with,in the other words
chunk_114,TOEIC_schedule_info,"The training ( ? ) 9 o'clock, and it will be held in Room 222 in the Technology Training Center. .",starts at,in the other words,on the result,for these reason
chunk_115,TOEIC_schedule_info,"The training starts at 9 o'clock, and it ( ? ) Room 222 in the Technology Training Center. .",will be held in,will be held,be held in,in the other words
chunk_116,TOEIC_schedule_info,"( ? ), let's see - OK.",Just a minute,Just a,a minute,in the other words
chunk_117,TOEIC_schedule_info,"Just a minute, ( ? ) - OK.",let's see,in the other words,on the result,for these reason
chunk_118,TOEIC_picture,"( ? ) no proglem with encouraging students to learn how to play a musical instrument, but I disagree that the schools should require students to play one.",There is,There are,There be,in the other words
chunk_119,TOEIC_opinion,"There is no proglem with encouraging students to learn how to play a musical instrument, but ( ? ) the schools should require students to play one.",I disagree that,I disagree,disagree that,in the other words
chunk_120,TOEIC_opinion,"( ? ), playing music is not a basic skill.",First of all,First for all,First all,At first of all
chunk_121,TOEIC_opinion,"If a student cannot play an instrument, it is ( ? ) going to have a negative impact on that person 's ability to be successful in life.",not necessarily,in the other words,on the result,for these reason
chunk_122,GENERAL_linkers,"( ? ), as a school subject, I believe music shouldn't be treated like the basic areas of reading, writing, math and science.",Therefore,in the other words,on the result,for these reason
chunk_123,GENERAL_verb_patterns,"If students are ( ? ) choose to play a musical instrument, they will feel more interested in the subject and they will even be more likely to succeed at playing .",allowed to,allowed for,in the other words,on the result
chunk_124,TOEIC_opinion,( ? ) the Internet is an effective educational tool for children. .,I agree with the idea that,I agree by the idea that,I agree with the idea,agree with the idea that
chunk_125,TOEIC_opinion,( ? ) spend our money on vacations rather than saving it. .,I think we should,I think we,think we should,in the other words
chunk_126,TOEIC_opinion,( ? ) we should abandon the lifetime employment system. .,It is my opinion that,It is my opinion,is my opinion that,in the other words
chunk_127,TOEIC_opinion,"( ? ), discussing something until we are satisfied is the best way to handle our disagreement. .",In my view,on my view,at my view,In my
chunk_128,GENERAL_linkers,"In my view, discussing something until we are satisfied is ( ? ) handle our disagreement. .",the best way to,the best way for,the best way,best way to
chunk_129,GENERAL_verb_patterns,I say this because we ( ? ) prepare for the unexpected. .,need to,need for,in the other words,on the result
chunk_130,GENERAL_verb_patterns,"First, the lifetime employment system ( ? ) hinder a company's growth. .",tends to,tends for,in the other words,on the result
chunk_131,TOEIC_opinion,( ? ) it is definitely a waste of time to spend hours commuting. .,To begin with,for begin with,To begin by,To begin
chunk_132,TOEIC_opinion,"( ? ), even if a conclusion is not what we expected, we tend to be satisfied after discussing something thoroughly. .",In addition,on addition,at addition,in the other words
chunk_133,GENERAL_linkers,"In addition, ( ? ) a conclusion is not what we expected, we tend to be satisfied after discussing something thoroughly. .",even if,in the other words,on the result,for these reason
chunk_134,GENERAL_verb_patterns,"In addition, even if a conclusion is not what we expected, we ( ? ) be satisfied after discussing something thoroughly. .",tend to,tend for,in the other words,on the result
chunk_135,TOEIC_opinion,"( ? ), many kinds of services or functions have become available recently to protect children from harm when they use the Internet. .",For example,to example,For examples,For instance of
chunk_136,TOEIC_personal_response,What I mean is that we can work more creatively or productively if we use the time that we would ( ? ) spend commuting every day. .,otherwise,in the other words,on the result,for these reason
chunk_137,TOEIC_opinion,( ? ) we can work more creatively or productively if we use the time that we would otherwise spend commuting every day. .,What I mean is that,What I mean is,I mean is that,in the other words
chunk_138,GENERAL_linkers,"( ? ), if you can't take days off and do something that refreshes your mind, you'll be exhausted from working and saving every day. .",However,in the other words,on the result,for these reason
chunk_139,TOEIC_opinion,"( ? ), there was conflict and they were trying their best to comply with the client's requests, while others were giving more consideration to the tight budget. .",In my case,on my case,at my case,In my
chunk_140,GENERAL_linkers,"In my case, there was conflict and they were trying their best to comply with the client's requests, ( ? ) others were giving more consideration to the tight budget. .",while,in the other words,on the result,for these reason
chunk_141,TOEIC_opinion,( ? ) spending money on vacations will enrich our lives. .,So I think,So I,I think,in the other words
chunk_142,TOEIC_opinion,( ? ) I believe the Internet is a good educational tool for children. .,This is why,This is,is why,in the other words
chunk_143,TOEIC_opinion,"( ? ), I try to discuss something thoroughly when I disagree with someone. .",For these reasons,to these reasons,For these,these reasons
chunk_144,GENERAL_verb_patterns,"For these reasons, I ( ? ) discuss something thoroughly when I disagree with someone. .",try to,try for,in the other words,on the result
chunk_145,GENERAL_linkers,"( ? ), I agree with the statement that students should be required to learn to play a musical instrument. .",For several reasons,to several reasons,For several,several reasons
chunk_146,GENERAL_linkers,"( ? ), it's also important to introduce students to cultural subjects such as music and arts. .",However,in the other words,on the result,for these reason
chunk_147,TOEIC_opinion,"( ? ), the experience of playing an instrument will make students' connection to music more personal and encourage them to continue exploring music outside of school. .",Furthermore,in the other words,on the result,for these reason
chunk_148,TOEIC_opinion,"( ? ), I believe an instrument is important because it teaches children and a body of art and culture, as well as showing practice and hard work, are necessary. .",To be more specific,for be more specific,To be more,be more specific
chunk_149,TOEIC_opinion,"( ? ), I think schools should require students to learn how to play a musical instrument. .",For these reasons,to these reasons,For these,these reasons
chunk_150,TOEIC_opinion,( ? ) students should be required to perform some physical exercise during the day.,I believe that,I believe,believe that,in the other words
chunk_151,TOEIC_picture,( ? ) some great benefits for everyone involved when students have a break to refresh themselves.,There are,There is,There be,in the other words
chunk_152,GENERAL_linkers,I think ( ? ) learn about photography is by talking to a knowledgeable friend.,the best way to,the best way for,the best way,best way to
chunk_153,TOEIC_opinion,"( ? ), a knowledgeable friend will have lots of tips and will also be willing to spend much more time helping you get started.",On the other hand,in the other hand,at the other hand,On another hand
chunk_154,TOEIC_opinion,"On the other hand, a knowledgeable friend will have lots of tips and will also ( ? ) spend much more time helping you get started.",be willing to,be willing for,be willing,willing to
chunk_155,GENERAL_linkers,"You can ask as many questions as you want, whatever you want, by contacting your friend ( ? ) you normally communicate.",however,in the other words,on the result,for these reason
chunk_156,TOEIC_opinion,"( ? ), your friend will probably enjoy talking about something she is good at, so you will both gain something from the experience.",What's more,in the other words,on the result,for these reason
chunk_157,TOEIC_picture_action,People ( ? ) because they need to check in for their flights. 3.,are waiting in line,are waiting in,waiting in line,in the other words
chunk_158,GENERAL_verb_patterns,People are waiting in line because they ( ? ) check in for their flights. 3.,need to,need for,in the other words,on the result
chunk_159,GENERAL_linkers,Passengers are waiting at the airport counter ( ? ) system errors. 5.,because of,because for,in the other words,on the result
chunk_160,GENERAL_verb_patterns,A woman is waiting at the airport counter because she ( ? ) check her luggage. 6.,wants to,wants for,in the other words,on the result
chunk_161,GENERAL_linkers,"Because some flights were rescheduled, people were waiting for a ( ? ) at the airport. 1.",while,in the other words,on the result,for these reason
chunk_162,TOEIC_picture,( ? ) water around the boat. 3.,There is,There are,There be,in the other words
chunk_163,GENERAL_verb_patterns,"After he read all the menu options, the man ( ? ) order the chef's special dish. 5.",decided to,decided for,in the other words,on the result
chunk_164,TOEIC_picture,( ? ) multiple lamps on each table in the library. 7.,There are,There is,There be,in the other words
chunk_165,TOEIC_picture_action,Adults and children ( ? ) together in a public square. 8.,are sitting,in the other words,on the result,for these reason
chunk_166,TOEIC_picture_action,"While several people are going in one direction, a businessman ( ? ) the opposite way with a newspaper in his hand. 10.",is walking,in the other words,on the result,for these reason
chunk_167,GENERAL_linkers,"( ? ) several people are going in one direction, a businessman is walking the opposite way with a newspaper in his hand. 10.",While,in the other words,on the result,for these reason
chunk_168,TOEIC_email,"Steinhart, ( ? ) your catering needs.",Thank you for contacting us regarding,Thank you to contacting us regarding,Thank you for contacting us,you for contacting us regarding
chunk_169,TOEIC_email,( ? ) provide our services for your upcoming luncheon.,We would be happy to,We would be happy for,We would be happy,would be happy to
chunk_170,TOEIC_email,"The main course ( ? ) sandwiches or hot foods, and we have a full selection of beverages and delicious desserts to complete the meal of your choice.",can consist of either,can consist for either,can consist of,consist of either
chunk_171,TOEIC_email,"The main course can consist of either sandwiches or hot foods, and we have ( ? ) beverages and delicious desserts to complete the meal of your choice.",a full selection of,a full selection for,a full selection,full selection of
chunk_172,TOEIC_email,"( ? ) if you prefer sandwiches or hot foods, I can send you the appropriate seasonal menu.",Once you let me know,Once you let me,you let me know,in the other words
chunk_173,TOEIC_email,"Also, if any of your guests have allergies or dietary restrictions, ( ? ) highlight appropriate menu items for you.",I can be sure to,I can be sure for,I can be sure,can be sure to
chunk_174,TOEIC_opinion,"( ? ) to food, we also can supply the serving staff for your event and decorations for tables and the rest of the room.",In addition,on addition,at addition,in the other words
chunk_175,TOEIC_email,"( ? ) food, we also can supply the serving staff for your event and decorations for tables and the rest of the room.",In addition to,on addition to,at addition to,In addition for
chunk_176,TOEIC_email,( ? ) serving you and your guests with all your business catering needs.,We look forward to,We look forward for,We look forward,look forward to
chunk_177,TOEIC_email,"Yoshida, ( ? ): Dear Sir or Madam: Thank you very much for your e-mail welcoming me to Dale City.",To Whom It May Concern,for Whom It May Concern,To Whom It May,Whom It May Concern
chunk_178,TOEIC_email,"Yoshida, To Whom It May Concern: ( ? ): Thank you very much for your e-mail welcoming me to Dale City.",Dear Sir or Madam,Dear Sir or,Sir or Madam,in the other words
chunk_179,TOEIC_email,"Yoshida, To Whom It May Concern: Dear Sir or Madam: ( ? ) your e-mail welcoming me to Dale City.",Thank you very much for,Thank you very much to,Thank you very much,you very much for
chunk_180,TOEIC_email,( ? ).,I appreciate your e-mail,I appreciate your,appreciate your e-mail,in the other words
chunk_181,TOEIC_email,( ? ) changes in the meeting schedule.,This is to inform you of,This is to inform you for,This is for inform you of,This is to inform you
chunk_182,TOEIC_email,"( ? ), could you extend the deadline?",Regarding the project proposal,Regarding the project,the project proposal,in the other words
chunk_183,TOEIC_email,"Regarding the project proposal, ( ? ) the deadline?",could you extend,could you,you extend,in the other words
chunk_184,TOEIC_email,( ? ) postpone the delivery date?,Would it be possible for you to,Would it be possible for you for,Would it be possible to you to,Would it be possible for you
chunk_185,TOEIC_email,( ? ) send me a brochure.,I would appreciate it if you could,I would appreciate it if you,would appreciate it if you could,in the other words
chunk_186,TOEIC_email,( ? ) having an interview with me?,Would you consider,Would you,you consider,in the other words
chunk_187,TOEIC_email,( ? ) write a reference for me.,I would like you to,I would like you for,I would like you,would like you to
chunk_188,TOEIC_email,( ? ) the library is located?,Can you tell me where,Can you tell me,you tell me where,in the other words
chunk_189,TOEIC_email,( ? ) writing to me.,Thank you again for,Thank you again to,Thank you again,you again for
chunk_190,TOEIC_email,( ? ) information from you.,I look forward to receiving,I look forward for receiving,I look forward to,look forward to receiving
chunk_191,TOEIC_email,"( ? ), Best regards, .",Many thanks in advance,Many thanks in,thanks in advance,in the other words
chunk_192,TOEIC_email,"Many thanks in advance, ( ? ), .",Best regards,in the other words,on the result,for these reason
chunk_193,TOEIC_email,We will create a custom course ( ? ). .,according to your budget,according for your budget,According with,According for
chunk_194,GENERAL_linkers,We will create a custom course ( ? ) your budget. .,according to,according for,According with,According for
chunk_195,TOEIC_email,( ? ) the menu.,Prices vary depending on,Prices vary depending,vary depending on,in the other words
