id,section,question,focus,target_expressions,model_starter
1,Business,Some people think companies should allow employees to work from home at least three days a week. Do you agree or disagree with this opinion?,work from home / commuting costs,allow employees to work from home; reduce commuting costs; improve work-life balance,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
2,Education,Some people think all students should be required to wear school uniforms. Do you agree or disagree with this opinion?,uniforms / money,do not have to spend time choosing; save money on clothes; reduce financial burden,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
3,Education,Some people think schools should give students less homework. Do you agree or disagree with this opinion?,homework / workload,less homework; grade homework; reduce teachers’ workload; help students feel relaxed,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
4,Education,Some people think children should start learning English at an early age. Do you agree or disagree with this opinion?,early English / pronunciation,at an early age; English pronunciation; opportunities to be exposed to English,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
5,Business,Some people think companies should provide free lunch for their employees. Do you agree or disagree with this opinion?,free lunch / health,provide healthy meals; support employees’ health; benefit both employees and companies,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
6,Business,Some people think it is better to work in a team than to work alone. Do you agree or disagree with this opinion?,teamwork / mistakes,work in a team; learn from teammates; reduce the risk of making mistakes; increase productivity,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
7,Business,Some people think online meetings are better than face-to-face meetings. Do you agree or disagree with this opinion?,online meetings / efficiency,face-to-face meetings; share meeting materials; make meetings more efficient,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
8,Business,Some people think employees should be allowed to choose their own working hours. Do you agree or disagree with this opinion?,working hours / motivation,working hours; work-life balance; work when they are most productive; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
9,Business/AI,Some people think companies should use AI tools to improve their work. Do you agree or disagree with this opinion?,AI / workload,at any time and from anywhere; reduce mistakes; without increasing employees’ workload; improve work efficiency,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
10,Business,Some people think companies should give employees more vacation days. Do you agree or disagree with this opinion?,vacation / productivity,time to relax; refresh themselves; reduce stress; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
11,Business,Some people think companies should provide training programs for new employees. Do you agree or disagree with this opinion?,training / confidence,help new employees increase their confidence; reduce mistakes; knowledge they gained through training,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
12,Business,Some people think companies should allow employees to wear casual clothes at work. Do you agree or disagree with this opinion?,casual clothes / uniforms,help employees feel relaxed; productivity will improve; save money on uniforms,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
13,Society,Some people think public transportation should be free for everyone. Do you agree or disagree with this opinion?,public transportation / convenience,free public transportation; transportation costs; make it easier for workers to commute; benefit many people,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
14,Education/Technology,Some people think students should use smartphones in class for learning. Do you agree or disagree with this opinion?,smartphones / digital literacy,look up information on smartphones; fewer opportunities; improve digital literacy; use digital tools properly,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
15,Education,Some people think schools should teach students how to manage money. Do you agree or disagree with this opinion?,money / future life,manage money; teach students how to manage money; social studies; useful for students’ future lives,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
16,Business,Some people think companies should reduce the number of meetings. Do you agree or disagree with this opinion?,meetings / workload,reduce the number of meetings; reduce employees’ workload; make meetings more efficient; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
17,Business,Some people think companies should provide wellness programs for employees. Do you agree or disagree with this opinion?,wellness / stress,support employees’ health; reduce stress; help employees feel relaxed; benefit both employees and companies,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
18,Business,Some people think companies should hire workers with experience rather than recent graduates. Do you agree or disagree with this opinion?,experience / mistakes,knowledge they gained through experience; reduce mistakes; work more efficiently,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
19,Business,Some people think companies should promote current employees rather than hire new staff. Do you agree or disagree with this opinion?,promotion / training costs,increase motivation; reduce training costs; save money on hiring; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
20,Business,Some people think companies should pay for employees’ commuting costs. Do you agree or disagree with this opinion?,commuting costs / financial burden,commuting costs; reduce employees’ financial burden; benefit employees and companies,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
21,Education,Some people think schools should give students more opportunities to speak English. Do you agree or disagree with this opinion?,English speaking / opportunities,more opportunities to speak English; improve pronunciation; build confidence,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
22,Business/Technology,Some people think companies should use digital tools for employee training. Do you agree or disagree with this opinion?,digital training / efficiency,useful for training; learn basic skills through training; at any time and from anywhere,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
23,Education,Some people think students should have more free time after school. Do you agree or disagree with this opinion?,free time / stress,time to relax; reduce stress; spend more time with their families; study more efficiently,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
24,Education/Technology,Some people think schools should teach digital literacy. Do you agree or disagree with this opinion?,digital literacy / future,improve digital literacy; use digital tools properly; useful for students’ future lives,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
25,Business,Some people think companies should encourage teamwork more. Do you agree or disagree with this opinion?,teamwork / productivity,work in a team; reduce the risk of making mistakes; share ideas; increase productivity,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
26,Business,Some people think flexible working hours are more important than high salaries. Do you agree or disagree with this opinion?,working hours / work-life balance,working hours; reduce stress; improve work-life balance; work when they are most productive,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
27,Society/Business,Some people think businesspeople should use public transportation more often. Do you agree or disagree with this opinion?,public transportation / costs,public transportation; reduce transportation costs; make daily life more convenient,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
28,Education,Some people think schools should reduce class size. Do you agree or disagree with this opinion?,class size / questions,fewer students; more opportunities to ask questions; study independently; help students learn better,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
29,Business,Some people think companies should provide healthy meals at work. Do you agree or disagree with this opinion?,healthy meals / health,healthy meals for employees; support employees’ health; reduce stress; productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
30,Business,Some people think employees should take short breaks during work. Do you agree or disagree with this opinion?,breaks / focus,time to relax; help employees focus better; work more efficiently; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
