ID,Section,Word,Correct Answer,Wrong1,Wrong2,Wrong3,Points
1,1,lie,いる,置く,上がる,存在する,1
2,1,lay,置く,いる,上げる,到着する,1
3,1,lie,うそをつく,いる,置く,証明する,1
4,1,rise,上がる,上げる,落ちる,進化する,1
5,1,raise,上げる,上がる,持ってくる,示す,1
6,1,grow,成長する,進化する,存在する,戻る,1
7,1,bring,持ってくる,送る,渡す,訪問する,1
8,1,exist,存在する,現れる,所属している,住んでいる,1
9,1,participate,参加する,出席する,到着する,旅行する,1
10,1,evolve,進化する,成長する,証明する,示す,1
11,1,dive,飛び込む,跳ぶ,泳ぐ,歩く,1
12,1,leap,跳ぶ,飛び込む,歩く,急ぐ,1
13,1,arrive,到着する,出発する,戻る,近づく,1
14,1,depart,出発する,到着する,戻る,旅行する,1
15,1,sleep,眠る,座る,歩く,住んでいる,1
16,1,walk,歩く,急ぐ,旅行する,泳ぐ,1
17,1,hurry,急ぐ,歩く,戻る,出発する,1
18,1,return,戻る,到着する,出発する,参加する,1
19,1,travel,旅行する,歩く,訪問する,到着する,1
20,1,appear,現れる,存在する,見る,聞こえる,1
21,1,stare,じっと見る,見える,気づく,示す,1
22,1,rain,雨が降る,雪が降る,落ちる,現れる,1
23,1,snow,雪が降る,雨が降る,落ちる,凍る,1
24,1,become,～になる,～のままでいる,～に見える,証明する,1
25,1,turn,～になる,戻る,置く,示す,1
26,1,come,なる,行く,戻る,到着する,1
27,1,go,なる,来る,出発する,落ちる,1
28,1,fall,落ちる,上がる,跳ぶ,進化する,1
29,1,prove,証明する,示す,ほのめかす,評価する,1
30,1,look,～に見える,～に聞こえる,においがする,味がする,1
31,1,seem,～のようだ,～に見える,感じる,わかる,1
32,1,sound,～に聞こえる,～に見える,においがする,感じる,1
33,1,smell,においがする,味がする,聞こえる,見える,1
34,1,taste,味がする,においがする,感じる,見る,1
35,1,stay,～のままでいる,～になる,戻る,住んでいる,1
36,1,remain,～のままでいる,～になる,現れる,続く,1
37,1,believe,信じる,議論する,示す,ほのめかす,1
38,1,argue,議論する,信じる,示す,話し合う,1
39,1,indicate,示す,ほのめかす,証明する,評価する,1
40,1,imply,ほのめかす,示す,証明する,議論する,1
41,1,estimate,評価する,到達する,示す,理解する,1
42,1,reach,到達する,訪問する,近づく,入る,1
43,1,visit,訪問する,出席する,参加する,到達する,1
44,1,enter,入る,参加する,出発する,到着する,1
45,1,approach,近づく,到達する,訪問する,出発する,1
46,1,join,参加する,出席する,訪問する,答える,1
47,1,attend,出席する,参加する,訪問する,答える,1
48,1,answer,答える,話し合う,示す,教える,1
49,1,marry,結婚する,参加する,話し合う,信じる,1
50,1,discuss,話し合う,議論する,答える,示す,1
51,1,follow,後を追う,近づく,参加する,戻る,1
52,1,give,与える,送る,見せる,渡す,1
53,1,teach,教える,見せる,書く,読む,1
54,1,show,見せる,教える,送る,示す,1
55,1,send,送る,渡す,与える,持ってくる,1
56,1,pass,渡す,送る,与える,置く,1
57,1,sing,歌う,書く,読む,料理する,1
58,1,write,書く,読む,歌う,答える,1
59,1,read,読む,書く,理解する,聞こえる,1
60,1,buy,買う,料理する,盗む,持ってくる,1
61,1,cook,料理する,買う,書く,作る,1
62,1,take,かかる,費用がかかる,取る,与える,1
63,1,cost,かかる,取る,買う,評価する,1
64,1,name,名づける,描く,みなす,示す,1
65,1,understand,理解する,気づく,信じる,わかる,1
66,1,steal,盗む,買う,持ってくる,渡す,1
67,1,open,開く,置く,切る,始める,1
68,1,see,見る,聞こえる,感じる,気づく,1
69,1,hear,聞こえる,見る,感じる,味がする,1
70,1,feel,感じる,聞こえる,見る,においがする,1
71,1,find,わかる,見つける,理解する,気づく,1
72,1,perceive,気づく,理解する,見る,聞こえる,1
73,1,make,～させる,許可する,頼む,期待する,1
74,1,have,～させる,保つ,与える,持っている,1
75,1,let,～させる,許可する,強いる,頼む,1
76,1,keep,保つ,ほったらかす,～させる,置く,1
77,1,leave,ほったらかす,保つ,置く,出発する,1
78,1,get,～させる,得る,許可する,期待する,1
79,1,ask,頼む,許可する,促す,助言する,1
80,1,allow,許可する,強いる,頼む,励ます,1
81,1,permit,許可する,可能にする,強いる,期待する,1
82,1,enable,可能にする,許可する,権利を与える,促す,1
83,1,force,強いる,許可する,励ます,助言する,1
84,1,advise,助言する,励ます,促す,期待する,1
85,1,encourage,励ます,助言する,促す,強いる,1
86,1,expect,期待する,決心する,促す,許可する,1
87,1,determine,決心する,期待する,強いる,助言する,1
88,1,urge,促す,励ます,許可する,頼む,1
89,1,entitle,権利を与える,可能にする,許可する,みなす,1
90,1,help,手伝う,頼む,励ます,許可する,1
91,1,regard,みなす,描く,見る,名づける,1
92,1,view,みなす,見る,描く,示す,1
93,1,describe,描く,みなす,示す,説明する,1
94,1,already,すでに,まだ,かつて,今まで,1
95,1,yet,まだ,すでに,かつて,決して,1
96,1,since,～今まで,～するとき,～する間,～した後に,1
97,1,ever,これまでに,すでに,まだ,かつて,1
98,1,once,かつて,すでに,まだ,今まで,1
99,1,die,死ぬ,住んでいる,座る,眠る,1
100,1,sit,座る,住んでいる,眠る,歩く,1
101,1,cut,切る,置く,開く,盗む,1
102,1,put,置く,切る,開く,渡す,1
103,1,begin,始める,終える,戻る,開く,1
104,1,swim,泳ぐ,飛び込む,歩く,スケートをする,1
105,1,skate,スケートをする,スキーする,泳ぐ,キャンプする,1
106,1,ski,スキーする,スケートをする,ハイキングをする,泳ぐ,1
107,1,camp,キャンプする,ハイキングをする,旅行する,歩く,1
108,1,hike,ハイキングをする,キャンプする,歩く,旅行する,1
109,1,know,知っている,好む,住んでいる,所有する,1
110,1,love,好む,知っている,所属している,似ている,1
111,1,live,住んでいる,死ぬ,所属している,所有する,1
112,1,belong,所属している,住んでいる,所有する,似ている,1
113,1,resemble,似ている,所属している,所有する,好む,1
114,1,own,所有する,所属している,住んでいる,似ている,1
115,1,when,～するとき,～する間,～する前に,もし～なら,1
116,1,while,～する間,～するとき,～した後に,～しない限り,1
117,1,before,～する前に,～した後に,～するとき,もし～なら,1
118,1,after,～した後に,～する前に,～する間,～しない限り,1
119,1,if,もし～なら,～しない限り,～するとき,さもなければ,1
120,1,unless,～しない限り,もし～なら,～した後に,さもなければ,1
121,1,otherwise,さもなければ,もし～なら,～しない限り,～する間,1
122,1,wish,願う,期待する,信じる,決心する,1
123,2,can,?できる/ありえる,?するつもりだ,必要がある,避ける,1
124,2,will,?するつもりだ/?でしょう,?できる,?してもよい,試みる,1
125,2,may,?してもよい/?かもしれない,?しなければならない,?できた,拒否する,1
126,2,must,?しなければならない/?にちがいない,?するべきだ,?かもしれない,望む,1
127,2,shall,?でしょう,?するつもりだ,?できる,?してもよい,1
128,2,should,?するべきだ/?のはずだ,?しなければならない,?できた,?しただろう,1
129,2,could,?できた/?できる,?するべきだ,?しなければならない,?するつもりだ,1
130,2,would,?したものだ/?するつもり,?できる,?しなければならない,?かもしれない,1
131,2,might,?かもしれない,?するべきだ,?できる,?するつもりだ,1
132,2,had better,?しないとまずい,?するべきだ,?できる,?かもしれない,1
133,2,need,必要がある/必要とする,望む,避ける,拒否する,1
134,2,want,望む,必要がある,避ける,提案する,1
135,2,hope,希望する,諦める,拒否する,避ける,1
136,2,desire,強く望む,避ける,忘れる,試みる,1
137,2,offer,提供する/申し出る,拒否する,借りる,防ぐ,1
138,2,plan,計画する,避ける,後悔する,借りる,1
139,2,promise,約束する,拒否する,避ける,失敗する,1
140,2,decide,決める,迷う,拒否する,借りる,1
141,2,try,試みる,諦める,拒否する,忘れる,1
142,2,learn,学ぶ/身につける,教える,忘れる,避ける,1
143,2,tend,傾向がある,試みる,決める,約束する,1
144,2,happen,起こる/たまたま?する,避ける,拒否する,計画する,1
145,2,refuse,拒む,受け入れる,提供する,望む,1
146,2,remember,覚えている,忘れる,避ける,拒む,1
147,2,forget,忘れる,覚えている,後悔する,避ける,1
148,2,regret,後悔する,喜ぶ,避ける,提供する,1
149,2,fail,失敗する/?し損なう,成功する,計画する,望む,1
150,2,opportunity,機会,能力,努力,決断,1
151,2,ability,能力,機会,努力,決断,1
152,2,decision,決断,能力,機会,努力,1
153,2,effort,努力,能力,機会,決断,1
154,2,kind,やさしい,失礼な,利己的な,正直な,1
155,2,careless,不注意な,慎重な,賢い,正直な,1
156,2,intelligent,頭脳が鋭い,愚かな,失礼な,弱い,1
157,2,clever,賢い,愚かな,弱い,失礼な,1
158,2,wise,賢い,愚かな,不注意な,失礼な,1
159,2,foolish,愚かな,賢い,慎重な,親切な,1
160,2,stupid,愚かな,賢い,親切な,有能な,1
161,2,rude,無礼な,親切な,賢い,慎重な,1
162,2,selfish,わがままな,親切な,誠実な,慎重な,1
163,2,crazy,正気じゃない/夢中だ,冷静な,慎重な,賢い,1
164,2,honest,正直な,不注意な,失礼な,愚かな,1
165,2,eager,熱望して,無関心な,退屈した,疲れた,1
166,2,likely,ありそうな,不可能な,退屈した,無関心な,1
167,2,willing,進んで?する,拒否する,嫌がる,避ける,1
168,2,reluctant,気が進まない,積極的な,熱望している,幸せな,1
169,2,liable,?するおそれがある/?しやすい,安全な,確実な,幸福な,1
170,2,all,すべての,何も?ない,少しの,多くの,1
171,2,only,?だけ/唯一の,すべての,多くの,少しの,1
172,2,practice,練習する/実行する,避ける,忘れる,拒否する,1
173,2,enjoy,楽しむ,嫌う,拒否する,忘れる,1
174,2,mind,気にする,楽しむ,忘れる,拒否する,1
175,2,consider,考える,避ける,拒否する,忘れる,1
176,2,stop,やめる,始める,続ける,楽しむ,1
177,2,finish,終える,始める,続ける,避ける,1
178,2,avoid,避ける,受け入れる,試みる,望む,1
179,2,escape,逃れる,捕まる,止まる,拒否する,1
180,2,postpone,延期する,始める,終える,避ける,1
181,2,spill,こぼす,満たす,閉じる,隠す,1
182,2,interest,興味を持たせる,退屈させる,驚かせる,疲れさせる,1
183,2,interesting,興味深い,退屈な,疲れる,驚いた,1
184,2,interested,興味がある,退屈した,疲れた,驚いた,1
185,2,excite,ワクワクさせる,退屈させる,悲しませる,怒らせる,1
186,2,exciting,ワクワクさせるような,退屈な,悲しい,疲れた,1
187,2,excited,ワクワクしている,退屈した,悲しい,疲れた,1
188,2,surprise,驚かせる,安心させる,退屈させる,悲しませる,1
189,2,surprising,驚かせるような,退屈な,悲しい,疲れた,1
190,2,surprised,驚いた,退屈した,悲しい,疲れた,1
191,2,bore,退屈させる,驚かせる,喜ばせる,疲れさせる,1
192,2,boring,退屈な,面白い,興奮した,悲しい,1
193,2,bored,退屈した,興奮した,面白い,悲しい,1
194,2,tire,疲れさせる,元気にする,驚かせる,喜ばせる,1
195,2,tiring,疲れさせるような,面白い,楽しい,簡単な,1
196,2,tired,疲れた,元気な,興奮した,楽しい,1
197,2,please,喜ばせる,怒らせる,疲れさせる,悲しませる,1
198,2,satisfy,満足させる,失望させる,怒らせる,疲れさせる,1
199,2,move,感動させる,退屈させる,怒らせる,驚かせる,1
200,2,touch,感動させる,退屈させる,怒らせる,驚かせる,1
201,2,attract,引きつける,遠ざける,拒否する,避ける,1
202,2,fascinate,魅了する,退屈させる,怒らせる,避ける,1
203,2,depress,落ち込ませる,元気づける,驚かせる,喜ばせる,1
204,2,disappoint,がっかりさせる,喜ばせる,驚かせる,満足させる,1
205,2,embarrass,恥ずかしい思いをさせる,喜ばせる,驚かせる,満足させる,1
206,2,fold,折りたたむ,広げる,壊す,閉じる,1
207,2,frankly,率直に,慎重に,静かに,徐々に,1
208,2,generally,一般的に,具体的に,慎重に,率直に,1
209,2,strictly,厳密に,率直に,一般的に,徐々に,1
210,2,including,?を含めて,?を除いて,?に反して,?に従って,1
211,2,according,?によれば,?にもかかわらず,?の代わりに,?を除いて,1
212,2,owing,?が原因で,?のおかげで,?にもかかわらず,?の代わりに,1
213,2,whichever,たとえどれであっても,どちらでもない,両方とも,どこでも,1
214,2,whatever,たとえ何であっても,誰でも,いつでも,どこでも,1
215,2,whoever,たとえだれであっても,何でも,どこでも,いつでも,1
216,2,whomever,たとえだれであっても,何でも,どこでも,いつでも,1
217,2,whenever,たとえいつであろうとも,どこでも,誰でも,何でも,1
218,2,wherever,たとえどこであろうとも,いつでも,誰でも,何でも,1
219,2,worse,より悪い/より悪く,より良い,最も悪い,少し悪い,1
220,2,worst,最も悪い/最も悪く,より悪い,より良い,最も良い,1
221,2,later,より遅い/より遅く,より早い,最も遅い,すぐに,1
222,2,latest,最新の/最も遅く,古い,最初の,以前の,1
223,2,latter,後半の,前半の,最初の,以前の,1
224,2,lesser,より小さいほうの,より大きい,最重要の,最新の,1
225,2,superior,よりすぐれた,劣った,普通の,弱い,1
226,2,inferior,より劣った,優れた,普通の,強い,1
227,2,senior,年上の,年下の,同年代の,若い,1
228,2,junior,年下の,年上の,同年代の,高齢の,1
229,2,prefer,好む,嫌う,避ける,拒否する,1
230,2,twice,2倍/2回,1回,3倍,半分,1
231,2,few,ほとんど?ない,たくさんの,すべての,少しの,1
232,2,little,ほとんど?ない,たくさんの,すべての,多くの,1
233,2,hardly,ほとんど?ない,頻繁に,必ず,いつも,1
234,2,scarcely,ほとんど?ない,頻繁に,必ず,いつも,1
235,2,free,?がない/暇な/自由な/無料の,有料の,忙しい,危険な,1
236,2,tax,税金,給料,利益,費用,1
237,2,smoke,煙/タバコを吸う,火,水,空気,1
238,2,barrier,障壁,機会,能力,努力,1
239,2,nothing,何も?ない,すべて,何か,誰か,1
240,3,about,約?/?について,正確に,?なしで,突然に,1
241,3,around,約?/周囲に,真ん中に,内部に,正確に,1
242,3,almost,ほとんど,完全に,全く?ない,突然に,1
243,3,most,ほとんどの/最も,少しの,全く?ない,最後の,1
244,3,near,?の近くに,?の中に,?の間に,?の外に,1
245,3,nearby,近くの/近くに,遠くの,突然の,正確な,1
246,3,inside,?の中に,?の外に,?の上に,?の間に,1
247,3,outside,?の外に,?の中に,?の間に,?の下に,1
248,3,beside,?の横に,?の中に,?の後ろに,?の間に,1
249,3,between,?の間に（2つ）,?の中に,?の上に,?の横に,1
250,3,among,?の間に（3つ以上）,?の横に,?の下に,?の外に,1
251,3,beyond,?を越えて,?の中に,?の間に,?の下に,1
252,3,above,?の上に,?の下に,?の中に,?の横に,1
253,3,below,?の下に,?の上に,?の間に,?の外に,1
254,3,over,?の上に/?を越えて,?の下に,?の間に,?なしで,1
255,3,under,?の下に,?の上に,?の横に,?の間に,1
256,3,across,?を横切って,?の下に,?なしで,?の中に,1
257,3,through,?を通り抜けて,?の周囲に,?の横に,?なしで,1
258,3,along,?に沿って,?を横切って,?なしで,?の中に,1
259,3,against,?に反対して/?にもたれて,?に賛成して,?の中に,?の下に,1
260,3,toward,?の方へ,?から離れて,?なしで,?の中に,1
261,3,for,?のために/?の間,?なしで,?以来,?について,1
262,3,during,?の間ずっと,?以来,?までに,?の後で,1
263,3,within,?以内に,?の後で,?以来,?の外で,1
264,3,by,?までに/?のそばに,?以来,?の間ずっと,?なしで,1
265,3,until,?までずっと,?以来,?の後で,?の途中で,1
266,3,from,?から,?まで,?について,?のために,1
267,3,since,?以来,?まで,?の間ずっと,?なしで,1
268,3,after,?の後で,?の前に,?の間に,?以来,1
269,3,before,?の前に,?の後で,?以来,?の途中で,1
270,3,behind,?の後ろに,?の前に,?の中に,?の上に,1
271,3,in front of,?の前に,?の後ろに,?の中に,?の横に,1
272,3,because,なぜなら?だから,しかし,それゆえに,その間,1
273,3,because of,?のために,?にもかかわらず,?の代わりに,?に加えて,1
274,3,due to,?が原因で,?にもかかわらず,?に加えて,?の代わりに,1
275,3,despite,?にもかかわらず,?が原因で,?に加えて,?のために,1
276,3,in spite of,?にもかかわらず,?のために,?が原因で,?に加えて,1
277,3,besides,?に加えて,?の代わりに,?にもかかわらず,?なしで,1
278,3,except,?を除いて,?に加えて,?のために,?について,1
279,3,instead of,?の代わりに,?に加えて,?にもかかわらず,?のために,1
280,3,however,しかしながら,それゆえに,さらに,例えば,1
281,3,moreover,さらに,しかしながら,その結果,例えば,1
282,3,furthermore,さらに,しかしながら,その結果,例えば,1
283,3,otherwise,さもなければ,その結果,例えば,したがって,1
284,3,meanwhile,その間に,したがって,しかしながら,さらに,1
285,3,therefore,したがって,しかしながら,その間に,例えば,1
286,4,chalk,チョーク,鉛筆,消しゴム,ノート,1
287,4,bread,パン,米,肉,砂糖,1
288,4,water,水,火,空気,土,1
289,4,sugar,砂糖,塩,油,水,1
290,4,information,情報,誤解,秘密,問題,1
291,4,homework,宿題,旅行,仕事,遊び,1
292,4,news,ニュース,小説,宿題,情報,1
293,4,housework,家事,宿題,仕事,勉強,1
294,4,progress,進歩,失敗,停止,後退,1
295,4,traffic,交通,建物,教育,旅行,1
296,4,behavior,行動,知識,会話,計画,1
297,4,money,お金,時間,紙,食料,1
298,4,baggage,手荷物,家具,宿題,交通,1
299,4,furniture,家具,服,荷物,食料,1
300,4,police,警察,消防士,教師,医者,1
301,4,customer,客,店員,教師,患者,1
302,4,passenger,乗客,運転手,警察,観客,1
303,4,consumer,消費者,生産者,観客,店員,1
304,4,client,依頼人,観客,乗客,教師,1
305,4,audience,観客,俳優,教師,選手,1
306,4,spectator,観客,参加者,客,選手,1
307,4,guest,客,店員,依頼人,観客,1
308,4,visitor,訪問者,住民,教師,店員,1
309,4,shake,振る,押す,引く,投げる,1
310,4,asleep,眠っている,起きている,忙しい,健康な,1
311,4,alive,生きている,死んでいる,疲れている,眠い,1
312,4,alike,似ている,異なる,弱い,高い,1
313,4,mere,単なる,重要な,巨大な,複雑な,1
314,4,each,それぞれの,すべての,いくつかの,ほとんどない,1
315,4,every,すべての,少しの,どちらも?ない,いくつかの,1
316,4,responsible,責任がある,怠惰な,危険な,無責任な,1
317,4,reliable,信頼できる,危険な,無責任な,退屈な,1
318,4,capable,能力がある,無能な,退屈な,危険な,1
319,4,knowledgeable,知識がある,無知な,退屈な,危険な,1
320,4,respectable,立派な,失礼な,怠惰な,危険な,1
321,4,edible,食べられる,危険な,壊れた,高価な,1
322,4,possible,可能な,不可能な,危険な,無意味な,1
323,4,yearly,毎年の,毎日の,毎週の,毎月の,1
324,4,timely,タイミングのよい,遅い,危険な,無意味な,1
325,4,friendly,親しみやすい,失礼な,危険な,冷たい,1
326,4,home,家へ/家で,学校へ,職場へ,海外へ,1
327,4,here,ここに,そこに,あそこに,どこにも,1
328,4,there,そこに,ここに,どこにも,家に,1
329,4,abroad,海外へ,家へ,学校へ,近くへ,1
330,4,somewhere,どこかに,どこにも?ない,どこでも,ここに,1
331,4,past,通り過ぎて/過去の,未来の,現在の,内部の,1
332,4,left,左へ/左の,右へ,中央へ,上へ,1
333,4,upstairs,上の階へ,下の階へ,外へ,内部へ,1
334,4,downstairs,下の階へ,上の階へ,外へ,内部へ,1
335,4,indoors,屋内で,屋外で,海外で,自宅で,1
336,4,outdoors,屋外で,屋内で,学校で,海外で,1
337,4,overnight,一晩中,一日中,毎週,時々,1
338,4,alone,一人で,一緒に,頻繁に,突然に,1
339,4,always,いつも,決して?ない,時々,めったに?ない,1
340,4,usually,たいてい,決して?ない,時々,めったに?ない,1
341,4,often,しばしば,決して?ない,時々,一度も?ない,1
342,4,frequently,頻繁に,めったに?ない,決して?ない,時々,1
343,4,sometimes,時々,いつも,決して?ない,頻繁に,1
344,4,sometime,いつか,決して?ない,頻繁に,昨日,1
345,4,occasionally,時々,常に,決して?ない,毎日,1
346,4,rarely,めったに?ない,頻繁に,常に,毎日,1
347,4,seldom,めったに?ない,頻繁に,常に,毎日,1
348,4,never,決して?ない,時々,頻繁に,常に,1
349,4,very,とても,少し,全く?ない,時々,1
350,4,too,?すぎる,少し,全く?ない,かなり,1
351,4,enough,十分に,不足して,少しだけ,全く?ない,1
352,4,also,?もまた,しかし,決して?ない,ほとんど?ない,1
353,4,tell,伝える,隠す,拒否する,忘れる,1
354,4,remind,思い出させる,忘れさせる,隠す,拒否する,1
355,4,say,言う,聞く,隠す,拒否する,1
356,4,explain,説明する,隠す,拒否する,忘れる,1
357,4,apologize,謝る,批判する,拒否する,隠す,1
358,4,rob,奪う,与える,保存する,借りる,1
359,4,provide,提供する,拒否する,奪う,隠す,1
360,4,supply,供給する,不足する,拒否する,奪う,1
361,4,cost,費用がかかる,稼ぐ,節約する,借りる,1
362,4,share,共有する,隠す,拒否する,奪う,1
363,4,mix,混ぜる,分ける,壊す,拒否する,1
364,4,combine,結合する,分離する,拒否する,壊す,1
365,4,thank,感謝する,批判する,拒否する,忘れる,1
366,4,praise,褒める,批判する,罰する,無視する,1
367,4,blame,非難する,褒める,感謝する,守る,1
368,4,criticize,批判する,褒める,感謝する,守る,1
369,4,punish,罰する,褒める,助ける,感謝する,1
370,4,scold,叱る,褒める,助ける,守る,1
371,4,prevent,妨げる,助ける,促進する,許可する,1
372,4,suggest,提案する,拒否する,隠す,忘れる,1
373,4,propose,提案する,拒否する,隠す,忘れる,1
374,4,recommend,推薦する,拒否する,隠す,批判する,1
375,4,request,依頼する,拒否する,命令する,隠す,1
376,4,require,必要とする,拒否する,隠す,忘れる,1
377,4,think,思う,忘れる,拒否する,隠す,1
378,4,dream,夢を見る,忘れる,拒否する,隠す,1
379,4,complain,不平を言う,感謝する,褒める,推薦する,1
380,4,sure,確信して,不安な,無関心な,退屈した,1
381,4,aware,気づいて,無関心な,忘れて,退屈した,1
382,4,conscious,意識している,眠っている,無関心な,退屈した,1
383,4,search,探す,隠す,失う,借りる,1
384,4,substitute,代わりに使う,保存する,隠す,拒否する,1
385,4,differ,異なる,似ている,一致する,保存する,1
386,4,depend,頼る,拒否する,避ける,失う,1
387,4,rely,頼る,拒否する,避ける,失う,1
388,4,insist,主張する,拒否する,隠す,忘れる,1
389,4,concentrate,集中する,分散する,忘れる,拒否する,1
390,4,distinguish,区別する,結合する,拒否する,混ぜる,1
391,4,devote,ささげる,拒否する,避ける,失う,1
392,4,spend,費やす,節約する,稼ぐ,借りる,1
393,4,congratulate,祝う,批判する,拒否する,叱る,1
394,4,suppose,思う/仮定する,忘れる,拒否する,隠す,1
395,4,sell,売る,買う,借りる,保存する,1
396,4,kill,殺す,助ける,守る,救う,1
397,4,lend,貸す,借りる,売る,買う,1
398,4,rent,賃借りする/貸す,買う,売る,保存する,1
399,4,borrow,借りる,貸す,売る,買う,1
400,4,match,合う,拒否する,失う,隠す,1
401,4,suit,合う,拒否する,失う,隠す,1
402,4,fit,合う,拒否する,失う,隠す,1
403,4,adopt,採用する,拒否する,捨てる,失う,1
404,4,adapt,適応する,拒否する,捨てる,失う,1
405,4,quality,質,量,価格,利益,1
406,4,quantity,量,質,利益,価格,1
407,4,affect,影響を与える,助ける,保存する,拒否する,1
408,4,effect,影響/効果,原因,結果なし,拒否,1
409,4,though,?だけれども,だから,そして,もし,1
410,4,through,?を通して,?なしで,?の前に,?の後で,1
411,4,thorough,徹底的な,表面的な,短い,弱い,1
412,4,desert,砂漠,デザート,森,海,1
413,4,dessert,デザート,砂漠,食事,飲み物,1
414,4,cooperation,協力,競争,対立,拒否,1
415,4,corporation,企業,学校,病院,政府,1
416,4,staff,職員,学生,顧客,観客,1
417,4,stuff,もの,人,場所,計画,1
418,4,college,大学,高校,会社,病院,1
419,4,colleague,同僚,顧客,観客,先生,1
420,4,converse,会話する,保存する,拒否する,隠す,1
421,4,conserve,保存する,会話する,拒否する,失う,1
422,4,interpret,通訳する/解釈する,拒否する,隠す,忘れる,1
423,4,interrupt,さえぎる,助ける,保存する,待つ,1
424,4,form,形作る,壊す,失う,拒否する,1
425,4,except,?を除いて,?を含めて,?を通じて,?に反対して,1
426,4,lessen,少なくする,増やす,保存する,拡大する,1
427,4,lean,寄りかかる,押す,引く,落ちる,1
428,4,respectful,敬意を持っていて,失礼な,怠惰な,悲観的な,1
542,5,important,重要な,無意味な,危険な,小さい,1
543,5,essential,不可欠の,不要な,危険な,小さい,1
544,5,significant,重要な,些細な,無意味な,危険な,1
545,5,fundamental,基本的な,応用的な,危険な,一時的な,1
546,5,vital,生命の/重要な,無意味な,危険な,一時的な,1
547,5,central,中心的な,周辺の,危険な,一時的な,1
548,5,lead,導く,従う,避ける,失う,1
549,5,cause,引き起こす,防ぐ,避ける,失う,1
550,5,factor,要因,結果,解決策,意見,1
551,5,anxious,心配して,安心して,喜んで,退屈して,1
552,5,cry,泣く,笑う,怒る,眠る,1
553,5,despair,絶望,希望,成功,喜び,1
554,5,grief,深い悲しみ,喜び,怒り,安心,1
555,5,sentimental,感情に影響されやすい,冷静な,合理的な,無関心な,1
556,5,miserable,みじめな,幸せな,裕福な,健康な,1
557,5,coward,臆病者,勇敢な人,英雄,指導者,1
558,5,uneasy,不安な,安心した,幸せな,元気な,1
559,5,worry,心配する,安心する,忘れる,笑う,1
560,5,mad,怒って/狂って,穏やかな,幸せな,静かな,1
561,5,tremble,震える,笑う,走る,眠る,1
562,5,ugly,醜い,美しい,優しい,静かな,1
563,5,panic,あわてる/パニック,落ち着く,安心する,笑う,1
564,5,yell,叫ぶ,ささやく,黙る,笑う,1
565,5,disturb,邪魔する,助ける,守る,改善する,1
566,5,bother,悩ます,助ける,喜ばせる,守る,1
567,5,dull,退屈な,面白い,刺激的な,活発な,1
568,5,idle,怠けた,勤勉な,活発な,有能な,1
569,5,negative,否定的な,肯定的な,楽観的な,活発な,1
570,5,pessimistic,悲観的な,楽観的な,肯定的な,活発な,1
571,5,positive,前向きな,否定的な,悲観的な,無関心な,1
572,5,optimistic,楽観的な,悲観的な,否定的な,無関心な,1
573,5,courage,勇気,恐怖,失敗,悲しみ,1
574,5,glory,栄光,失敗,悲しみ,危険,1
575,5,intimate,親密な,遠い,冷たい,危険な,1
576,5,loyal,忠実な,裏切りの,冷たい,危険な,1
